EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOR_F_SCALE
10096222,OKLAHOMA,1950,April,Tornado,C,WASHITA,0,0,0,0,250K,0,F3
10120412,TEXAS,1950,April,Tornado,C,COMANCHE,0,0,0,0,25K,0,F1
10104927,PENNSYLVANIA,1950,July,Tornado,C,LEHIGH,2,0,0,0,25K,0,F2
10104928,PENNSYLVANIA,1950,July,Tornado,C,DAUPHIN,0,0,0,0,2.5K,0,F2
10104929,PENNSYLVANIA,1950,July,Tornado,C,CRAWFORD,0,0,0,0,2.5K,0,F0
10104930,PENNSYLVANIA,1950,August,Tornado,C,BUCKS,0,0,0,0,2.5K,0,F1
10104931,PENNSYLVANIA,1950,November,Tornado,C,LANCASTER,1,0,0,0,250K,0,F3
10104932,PENNSYLVANIA,1950,November,Tornado,C,BERKS,0,0,0,0,250K,0,F3
10099490,OKLAHOMA,1950,September,Tornado,C,HUGHES,6,0,0,0,250K,0,F2
10099491,OKLAHOMA,1950,September,Tornado,C,PITTSBURG,0,0,0,0,.25K,0,F0
10099492,OKLAHOMA,1950,October,Tornado,C,CIMARRON,0,0,0,0,25K,0,F1
10073785,NEBRASKA,1950,June,Tornado,C,NUCKOLLS,0,0,0,0,0K,0,F0
10096216,OKLAHOMA,1950,February,Tornado,C,OKLAHOMA,0,0,0,0,25K,0,F2
10096217,OKLAHOMA,1950,March,Tornado,C,PITTSBURG,0,0,0,0,2.5K,0,F2
10096218,OKLAHOMA,1950,April,Tornado,C,LINCOLN,0,0,0,0,25K,0,F2
10096219,OKLAHOMA,1950,April,Tornado,C,TULSA,0,0,0,0,2.5K,0,F1
10096220,OKLAHOMA,1950,April,Tornado,C,KIOWA,1,0,1,0,250K,0,F3
10096221,OKLAHOMA,1950,April,Tornado,C,KIOWA,0,0,0,0,250K,0,F3
10096223,OKLAHOMA,1950,April,Tornado,C,HUGHES,32,0,5,0,250K,0,F4
10096224,OKLAHOMA,1950,April,Tornado,C,COAL,0,0,0,0,25K,0,F2
10096225,OKLAHOMA,1950,May,Tornado,C,CUSTER,0,0,0,0,2.5K,0,F1
10096226,OKLAHOMA,1950,May,Tornado,C,BECKHAM,0,0,0,0,25K,0,F2
10096227,OKLAHOMA,1950,May,Tornado,C,WOODWARD,0,0,0,0,250K,0,F2
10096228,OKLAHOMA,1950,May,Tornado,C,ELLIS,0,0,0,0,0K,0,F1
10096229,OKLAHOMA,1950,May,Tornado,C,PAYNE,0,0,0,0,2.5K,0,F1
10096230,OKLAHOMA,1950,May,Tornado,C,KINGFISHER,3,0,0,0,25K,0,F2
10049531,MISSISSIPPI,1950,March,Tornado,C,RANKIN,0,0,0,0,250K,0,F2
10049532,MISSISSIPPI,1950,March,Tornado,C,RANKIN,0,0,0,0,250K,0,F2
10049533,MISSISSIPPI,1950,March,Tornado,C,CLAY,0,0,0,0,0K,0,F2
10049534,MISSISSIPPI,1950,March,Tornado,C,TISHOMINGO,2,0,0,0,25K,0,F1
10049535,MISSISSIPPI,1950,April,Tornado,C,MARION,0,0,0,0,250K,0,F2
10120401,TEXAS,1950,January,Tornado,C,BROOKS,2,0,0,0,0K,0,F2
10120403,TEXAS,1950,February,Tornado,C,HARRIS,12,0,1,0,25K,0,F3
10120404,TEXAS,1950,February,Tornado,C,SMITH,5,0,0,0,250K,0,F2
10120405,TEXAS,1950,February,Tornado,C,CASS,6,0,0,0,250K,0,F2
10120406,TEXAS,1950,February,Tornado,C,BOWIE,8,0,1,0,25K,0,F2
10120407,TEXAS,1950,February,Tornado,C,ERATH,0,0,0,0,25K,0,F1
10120408,TEXAS,1950,February,Tornado,C,LIMESTONE,0,0,0,0,25K,0,F2
