FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1005238,9979430,D,02/13/1952 20:00:00,,,
1005239,9979434,D,02/13/1952 21:30:00,,,
1005240,10126035,D,02/13/1952 22:40:00,,,
1005241,10126037,D,02/29/1952 16:00:00,,,
1005242,10126038,D,02/29/1952 16:30:00,,,
1005243,9983013,D,03/21/1952 14:40:00,,,
1005244,9983015,D,03/21/1952 16:50:00,,,
1005245,9983017,D,03/21/1952 17:00:00,,,
1005246,9983018,D,03/21/1952 17:00:00,,,
1005247,9983019,D,03/21/1952 17:20:00,,,
1005248,9983020,D,03/21/1952 17:20:00,,,
1005249,9983022,D,03/21/1952 17:30:00,,,
1005250,9983025,D,03/21/1952 18:00:00,,,
1005251,9983026,D,03/21/1952 18:45:00,,,
1005252,9983027,D,03/21/1952 18:45:00,,,
1005253,9983028,D,03/21/1952 19:00:00,,,
1005254,9983029,D,03/21/1952 19:00:00,,,
1005255,9979437,D,03/22/1952 15:00:00,,,
1005256,10063632,D,03/21/1952 20:00:00,,,
1005257,10047289,D,03/21/1952 22:00:00,,,
1005258,10126041,D,03/21/1952 18:00:00,,,
1005259,10126042,D,03/21/1952 20:30:00,,,
1005260,10126043,D,03/21/1952 20:30:00,,,
1005261,10126257,D,03/21/1952 22:00:00,,,
1005262,10126258,D,03/21/1952 22:45:00,,,
1005263,10126260,D,03/21/1952 23:00:00,,,
1005264,10126262,D,03/21/1952 23:30:00,,,
1005265,10126264,D,03/22/1952 00:01:00,,,
1005266,10126265,D,03/22/1952 00:20:00,,,
1005267,10126266,D,03/22/1952 01:00:00,,,
1005268,10032667,D,04/04/1952 03:30:00,,,
1005269,10117456,D,05/10/1952 14:15:00,,,
1005270,10146814,D,06/23/1952 21:30:00,,,
1005271,10072247,D,07/19/1952 18:30:00,,,
1005272,10089665,D,07/01/1952 18:00:00,,,
1005273,10063636,D,08/21/1952 00:20:00,,,
